Pinguin Radio - Blues	http://19293.live.streamtheworld.com/SP_R2406394_SC	0
Pinguin Radio - On the Rocks	http://streams.pinguinradio.com/PinguinOnTheRocks192.mp3	0
1.FM ReggaeTrade Radio	http://strm112.1.fm/reggae_mobile_mp3	0
1.FM Blues Radio	http://strm112.1.fm/blues_mobile_mp3	0
1.FM Rock Classics Radio	http://strm112.1.fm/rockclassics_mobile_mp3	0
1.FM Alternative Rock X Hits Radio	http://strm112.1.fm/x_mobile_mp3	0
RADIO BOB! - Blues	http://streams.radiobob.de/bob-blues/mp3-192/streams.radiobob.de/	0
RADIO BOB! - Rock Hits	http://streams.radiobob.de/bob-rockhits/mp3-192/streams.radiobob.de/	0
Hard Rock Station	http://listen.radioking.com/radio/86347/stream/125572	0
Oldies but Goldies (Antenne Bayern)	http://mp3channels.webradio.antenne.de/oldies-but-goldies	0
Classic Rock Live (Antenne Bayern)	http://mp3channels.webradio.antenne.de/classic-rock-live	0
Rock Antenne (Antenne Bayern)	http://mp3channels.webradio.antenne.de/rockantenne	0
Best Of Rock.FM ACDC	http://bestofrockfm.stream.vip/acdc/mp3-256/radiosure/	0
Best Of Rock.FM Classic Rock	http://bestofrockfm.stream.vip/classic/mp3-256/radiosure/	0
Best Of Rock.FM Hard Rock	http://bestofrockfm.stream.vip/hardrock/mp3-256/radiosure/	0
Best Of Rock.FM Soft Rock	http://bestofrockfm.stream.vip/softrock/mp3-256/radiosure/	0
Star FM 80er Rock	http://85.25.43.55/80er_rock.mp3	0
Star FM 90er Rock	http://85.25.43.55/90er_rock.mp3	0
GlassRock	http://glassrock.live-streams.nl:8007/live?type=.mp3	0
BluesMen Channel - Gold	http://173.249.21.17:8114/;	0
BluesMen Channel - Hits	http://173.249.21.17:8108/;	0
Progrock.com	http://74.82.59.197:8264/stream	0
The Blues Cove	http://radio.streemlion.com:2070/stream	0
Morow Prog Rock Radio	http://stream.fr.morow.com:8080/morow_hi.aacp	0
Bar Legend Radio	http://solid24.streamupsolutions.com:8010/stream	0
Digital Impulse Radio - Blues	http://orion.shoutca.st:8990/;	0
Digital Impulse Radio - Rock Hits	http://orion.shoutca.st:8871/;	0
Digital Impulse Radio - Hard Rock/Heavy Metal	http://orion.shoutca.st:8165/;	0
HD Radio - The Blues	http://rosetta.shoutca.st:8389/;	0
HD Radio - Classic Rock	http://rosetta.shoutca.st:8352/;	0
HD Radio - Rock	http://rosetta.shoutca.st:8364/;	0
HD Radio - Rock & Roll	http://rosetta.shoutca.st:8360/;	0
HD Radio - Jazz	http://rosetta.shoutca.st:8290/;	0
ISKC Radio - Blues Cafe	http://mediaserv68.live-streams.nl:8012/BluesCafe	0
ISKC Radio - Old Men's Rock	http://mediaserv68.live-streams.nl:8012/OldMenRock	0
ISKC Radio - Hardrock Channel	http://mediaserv68.live-streams.nl:8012/HardRockChannel	0
011.FM Classic Hits	http://listen.011fm.com:8040/stream21	0
011.FM Classic Country	http://listen.011fm.com:8036/stream19	0
011.FM The Vault Classic Rock	http://listen.011fm.com:8000/stream08	0
011.FM Retro 70s	http://listen.011fm.com:8000/stream04	0
011.FM Golden Oldies	http://listen.011fm.com:8000/stream14	0
011.FM Jazz Collection	http://listen.011fm.com:8000/stream11	0
011.FM Pure Piano	http://listen.011fm.com:8000/stream22	0
EKR European Klassik Rock	http://ekrrockradio1.scs.ms:8100/;	0
